"#","Classe","Medicamento","Apresentacao","Posologia atual","Validado (OK/Ajustar)","Ajuste sugerido","Fonte sugerida (CONFIRMAR)","Revisor","Data"
"92","Respiratório","Oximetazolina 0,05% (nasal)","Spray nasal","Aplicar 1 jato em cada narina de 12/12 horas, por no máximo 3 a 5 dias.","","","Diretriz GINA/SBPT + bula","",""
"93","Respiratório","Solução nasal de cloreto de sódio 0,9%","Spray/solução nasal","Aplicar/lavar as narinas várias vezes ao dia, conforme necessário.","","","Diretriz GINA/SBPT + bula","",""
"94","Anti-hipertensivo","Losartana 50 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"95","Anti-hipertensivo","Losartana 100 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"96","Anti-hipertensivo","Enalapril 10 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"97","Anti-hipertensivo","Enalapril 20 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"98","Anti-hipertensivo","Captopril 25 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, em jejum (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"99","Anti-hipertensivo","Anlodipino 5 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"100","Anti-hipertensivo","Anlodipino 10 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"101","Anti-hipertensivo","Nifedipino retard 20 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"102","Anti-hipertensivo","Hidroclorotiazida 25 mg","Comprimido","Tomar 1 comprimido por via oral pela manhã (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"103","Anti-hipertensivo","Clortalidona 25 mg","Comprimido","Tomar 1 comprimido por via oral pela manhã (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"104","Diurético","Furosemida 40 mg","Comprimido","Tomar 1 comprimido por via oral pela manhã (conforme orientação).","","","Diretriz SBC + bula","",""
"105","Diurético","Espironolactona 25 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC + bula","",""
"106","Betabloqueador","Atenolol 50 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC + bula","",""
"107","Betabloqueador","Succinato de metoprolol 50 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC + bula","",""
"108","Betabloqueador","Carvedilol 6,25 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, com alimento (uso contínuo).","","","Diretriz SBC + bula","",""
"109","Betabloqueador","Propranolol 40 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas (uso contínuo).","","","Diretriz SBC + bula","",""
"110","Anti-hipertensivo","Valsartana 160 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC de Hipertensão + bula","",""
"111","Cardiovascular","Mononitrato de isossorbida 20 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas (uso contínuo).","","","Diretriz SBC + bula","",""
"112","Cardiovascular","Digoxina 0,25 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (conforme orientação).","","","Diretriz SBC + bula","",""
"113","Antiagregante","AAS 100 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, após o almoço (uso contínuo).","","","Diretriz SBC + bula","",""
"114","Antiagregante","Clopidogrel 75 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC + bula","",""
"115","Anticoagulante","Rivaroxabana 20 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, com alimento (uso contínuo).","","","Diretriz SBC/antitrombótica + bula","",""
"116","Anticoagulante","Varfarina 5 mg","Comprimido","Tomar conforme orientação, por via oral 1 vez ao dia, no mesmo horário (controlar INR).","","","Diretriz SBC/antitrombótica + bula","",""
"117","Hipolipemiante","Sinvastatina 20 mg","Comprimido","Tomar 1 comprimido por via oral à noite (uso contínuo).","","","Diretriz SBC de Dislipidemia + bula","",""
"118","Hipolipemiante","Sinvastatina 40 mg","Comprimido","Tomar 1 comprimido por via oral à noite (uso contínuo).","","","Diretriz SBC de Dislipidemia + bula","",""
"119","Hipolipemiante","Atorvastatina 20 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC de Dislipidemia + bula","",""
"120","Hipolipemiante","Atorvastatina 40 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC de Dislipidemia + bula","",""
"121","Hipolipemiante","Rosuvastatina 10 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC de Dislipidemia + bula","",""
"122","Hipolipemiante","Ezetimiba 10 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBC de Dislipidemia + bula","",""
"123","Antidiabético","Metformina 850 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, após as refeições.","","","Diretriz SBD + bula","",""
"124","Antidiabético","Metformina XR 500 mg","Comprimido","Tomar 2 comprimidos por via oral 1 vez ao dia, após o jantar.","","","Diretriz SBD + bula","",""
"125","Antidiabético","Gliclazida MR 30 mg","Comprimido","Tomar 1 a 2 comprimidos por via oral pela manhã, no café (uso contínuo).","","","Diretriz SBD + bula","",""
"126","Antidiabético","Glibenclamida 5 mg","Comprimido","Tomar 1 comprimido por via oral pela manhã, no café (uso contínuo).","","","Diretriz SBD + bula","",""
"127","Antidiabético","Empagliflozina 25 mg","Comprimido","Tomar 1 comprimido por via oral pela manhã (uso contínuo).","","","Diretriz SBD + bula","",""
"128","Antidiabético","Dapagliflozina 10 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBD + bula","",""
"129","Antidiabético","Sitagliptina 100 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBD + bula","",""
"130","Hormônio tireoidiano","Levotiroxina 50 mcg","Comprimido","Tomar 1 comprimido por via oral em jejum, 30 a 60 min antes do café (uso contínuo).","","","Diretriz SBEM + bula","",""
"131","Hormônio tireoidiano","Levotiroxina 100 mcg","Comprimido","Tomar 1 comprimido por via oral em jejum, 30 a 60 min antes do café (uso contínuo).","","","Diretriz SBEM + bula","",""
"132","Metabólico","Alopurinol 300 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, após refeição (fora da crise).","","","Bula ANVISA + diretriz da indicação","",""
"133","Metabólico","Colchicina 0,5 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas na crise de gota; manutenção 1x/dia.","","","Bula ANVISA + diretriz da indicação","",""
"134","Antivertiginoso","Betahistina 24 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas.","","","Bula ANVISA + FTN/RENAME","",""
"135","Antivertiginoso","Cinarizina 75 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, se tontura.","","","Bula ANVISA + FTN/RENAME","",""
"136","Antivertiginoso/Profilaxia","Flunarizina 10 mg","Comprimido","Tomar 1 comprimido por via oral à noite (profilaxia de enxaqueca).","","","Bula ANVISA + diretriz (ABN)","",""
"137","Antienxaqueca","Sumatriptana 50 mg","Comprimido","Tomar 1 comprimido por via oral no início da crise de enxaqueca; repetir após 2h se necessário (máx. 2/dia).","","","Diretriz ABN (cefaleia) + bula","",""
"138","Urológico","Tansulosina 0,4 mg","Cápsula","Tomar 1 cápsula por via oral 1 vez ao dia, após a mesma refeição (uso contínuo).","","","Diretriz SBU/SBI (ITU) + bula","",""
"139","Urológico","Finasterida 5 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (uso contínuo).","","","Diretriz SBU/SBI (ITU) + bula","",""
"140","Urológico","Fenazopiridina 200 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, após as refeições, por até 2 dias (deixa a urina alaranjada).","","","Diretriz SBU/SBI (ITU) + bula","",""
"141","Urológico","Oxibutinina 5 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas.","","","Diretriz SBU/SBI (ITU) + bula","",""
"142","Urológico","Tadalafila 5 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia.","","","Diretriz SBU/SBI (ITU) + bula","",""
"143","Suplemento","Ácido fólico 5 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia.","","","FTN/RENAME + bula","",""
"144","Suplemento","Sulfato ferroso 40 mg Fe","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, em jejum, com suco cítrico.","","","FTN/RENAME + bula","",""
"145","Hemostático","Ácido tranexâmico 250 mg","Comprimido","Tomar 2 comprimidos por via oral de 8/8 horas durante o sangramento.","","","Bula ANVISA","",""
"146","Ginecológico","Miconazol 2% (creme vaginal)","Creme vaginal","Aplicar 1 aplicador via vaginal à noite, ao deitar, por 7 noites.","","","Bula ANVISA + diretriz (FEBRASGO)","",""
"147","Dermatológico","Mupirocina 2% (pomada)","Pomada tópica","Aplicar na lesão de 8/8 horas, por 7 a 10 dias.","","","Bula ANVISA + diretriz (SBD)","",""
"148","Dermatológico","Neomicina + Bacitracina (pomada)","Pomada tópica","Aplicar fina camada na lesão de 8/8 horas.","","","Bula ANVISA + diretriz (SBD)","",""
"149","Dermatológico","Hidrocortisona 1% (creme)","Creme tópico","Aplicar fina camada na lesão de 12/12 horas.","","","Bula ANVISA + diretriz (SBD)","",""
"150","Dermatológico","Permetrina 5% (loção)","Loção tópica","Aplicar do pescoço para baixo à noite, deixar 8 a 12h e enxaguar; repetir em 7 dias (escabiose).","","","Bula ANVISA + diretriz (SBD)","",""
"151","Dermatológico","Dexpantenol (pomada)","Pomada tópica","Aplicar na área a cada troca/conforme necessário.","","","Bula ANVISA + diretriz (SBD)","",""
"152","Oftálmico","Colírio lubrificante","Colírio","Instilar 1 gota em cada olho de 4/4 a 6/6 horas, conforme necessário.","","","Bula ANVISA + diretriz (CBO)","",""
"153","Oftálmico","Tobramicina 0,3% (colírio)","Colírio","Instilar 1 gota no olho afetado de 4/4 horas, por 7 dias.","","","Bula ANVISA + diretriz (CBO)","",""
"154","Oftálmico","Olopatadina 0,1% (colírio)","Colírio","Instilar 1 gota em cada olho de 12/12 horas (alergia ocular).","","","Bula ANVISA + diretriz (CBO)","",""
"155","Otológico","Ciprofloxacino + Hidrocortisona (otológico)","Solução otológica","Instilar 3 gotas no ouvido afetado de 12/12 horas, por 7 dias.","","","Bula ANVISA","",""
"156","Suplemento","Vitamina D (colecalciferol) 2.000 UI","Cápsula","Tomar 1 cápsula por via oral 1 vez ao dia, com refeição.","","","FTN/RENAME + bula","",""
"157","Suplemento","Vitamina D (colecalciferol) 7.000 UI","Cápsula","Tomar 1 cápsula por via oral 1 vez por semana.","","","FTN/RENAME + bula","",""
