"#","Secao","Ficha (doenca)","Fonte (USP cap.)","Doses/limiares-chave a validar","Validado (OK/Ajustar)","Ajuste sugerido","Revisor","Data"
"16","Cardiovasculares","Insuficiência cardíaca aguda / EAP","cap. 35","Descompensação cardíaca com congestão e/ou baixo débito (80% agudização de IC conhecida). Manejo guiado pelo perfil de Stevenson (quente/frio × úmido/seco) e pela PA. Pilares: suporte respiratório (VNI/CPAP), diurético de alça, vasodilatador e, no choque, inotrópico/vasopressor (noradrenalina). Tratar o precipitante. | O₂ só se hipoxêmico (alvo ~90%); evitar hiperóxia | Furosemida EV: 20–40 mg se virgem, ou ~2,5× a dose VO habitual; reavaliar resposta e dobrar a dose se inadequada | SCAPE (EAP hipertensivo): priorizar vasodilatação + diurético; reduzir ≥ 25% da PA nas primeiras horas | Inotrópico: dobutamina 2,5–20 µg/kg/min (cautela se hipotenso); alternativas milrinona/levosimendana","","","",""
"17","Neurológicas","AVC hemorrágico (hemorragia intracerebral)","cap. 56","Sangramento não traumático no parênquima (10–25% dos AVC). HAS é a principal causa; angiopatia amiloide nas hemorragias lobares do idoso. Deterioração precoce por expansão do hematoma. TC é o exame de escolha. Bases: suporte intensivo, controle precoce da PA, reversão de coagulopatia e manejo da PIC, com avaliação neurocirúrgica. | Expansão do hematoma é precoce (~26% em 1 h) e piora o prognóstico; maior risco sob anticoagulação. Extensão intraventricular = pior. | Cirurgia: hemorragia cerebelar > 15 mL (ou > 3 cm) com deterioração/compressão de tronco/hidrocefalia → evacuar","","","",""
"18","Neurológicas","Hemorragia subaracnóidea","cap. 55","Sangue no espaço subaracnóideo (50% dos AVC hemorrágicos); 80–85% por ruptura de aneurisma. Apresenta-se como cefaleia súbita e gravíssima (""pior da vida""), podendo haver cefaleia sentinela prévia. TC sem contraste é o 1º exame; se negativa/duvidosa, punção lombar. Manejo: PA, nimodipino, prevenção de ressangramento e isquemia tardia, e tratamento precoce do aneurisma. | Ruptura de aneurisma sacular é a principal causa; HSA perimesencefálica (10–20%) tem bom prognóstico. | TC sem contraste: sensibilidade > 95% na 1ª h, ~92% em 24 h; negativa < 6 h praticamente exclui em baixa probabilidade | Nimodipino 60 mg VO/SNE 4/4 h por 21 dias (reduz isquemia tardia) | Redução discreta da PA (PAS < 160) evitando hipotensão; intervenção no aneurisma em ≤ 24 h. Regra de Ottawa (sensibilidade 100%) ajuda a decidir investigação na cefaleia sem déficit. Estratégia transfusional restritiva (Hb ≤ 8) é adequada.","","","",""
"19","Neurológicas","Estado de mal epiléptico","cap. 59","Diazepam 10 mg EV; OU midazolam 10 mg IM/intranasal se sem acesso (não atrasar) | Tratar hipoglicemia: tiamina 100 mg + glicose EV | Levetiracetam 60 mg/kg (máx 4.500 mg) — escolha pela segurança/menos interação | Fenitoína 20 mg/kg (diluir só em SF, 50 mg/min) ou valproato 40 mg/kg; acionar neurologista | Midazolam 10 mg IM é 1ª linha válida quando não há acesso venoso (sem atrasar). Levetiracetam é o anticonvulsivante de escolha pelo perfil de segurança; fenitoína reservada a crises recorrentes/EME não convulsivo.","","","",""
"20","Neurológicas","Meningite e encefalite","cap. 57","Inflamação das meninges (meningite) ou do parênquima (encefalite). No PS importam a meningite bacteriana (pneumococo, meningococo, Listeria) e a encefalite por HSV-1. Antibiótico empírico e/ou aciclovir são emergências — iniciar à suspeita, idealmente em ≤ 3 h, ANTES da punção lombar se houver atraso. Tríade (febre, rigidez de nuca, alteração mental) em ~41%. | Ceftriaxona 2 g EV 12/12 h + vancomicina 15–20 mg/kg (resistência do pneumococo no Brasil) | Dexametasona 10 mg EV 6/6 h, antes/junto ou até 4 h após o antibiótico (suspender se descartado pneumococo) | Aciclovir 10 mg/kg EV 8/8 h se encefalite herpética não puder ser descartada | Empírico passou a ceftriaxona + vancomicina pela resistência crescente do pneumococo (~20%). Dexametasona precoce reduz perda auditiva/mortalidade na pneumocócica. Aciclovir empírico se encefalite viral não descartável nas primeiras 6 h (tratamento precoce reduz mortalidade).","","","",""
"21","Metabólicas/Endócrinas","Hipoglicemia","cap. 90","Tríade de Whipple: glicemia baixa (< 70 mg/dL no diabético; < 45 no não diabético) + sintomas adrenérgicos/neuroglicopênicos + alívio após correção. Principal causa em adultos é medicamentosa (insulina, sulfonilureia). Idosos, betabloqueados e diabéticos de longa data podem não ter sintomas de alarme. Correção precoce é essencial. | Sintomas autonômicos ~55–60 mg/dL; neuroglicopênicos < 54; coma/convulsão em níveis menores. | Rebaixado/convulsão: glicose EV 15–25 g (preferir 10–25% à de 50%); sem acesso → glucagon IM 1–2 mg (fugaz) | Etilista/desnutrido/hepatopata: tiamina 100–300 mg junto à glicose | Estratifica no diabético: nível 1 (< 70 e > 54, intervir), nível 2 (< 54, imediato), nível 3 (evento severo). Glicose EV 25 g em 15 min, preferindo concentrações 10–25% à de 50%. Reforça a insuficiência autonômica associada à hipoglicemia e o risco arritmogênico.","","","",""
"22","Metabólicas/Eletrolíticas","Distúrbios do potássio (hiper/hipocalemia)","cap. 86","Hipocalemia (geralmente K < 2,7): T achatada/invertida, infra de ST, onda U, ↑ QT, arritmias | Estabilizar (se ECG alterado/K ≥ 6,5): gluconato de cálcio 10% 10 mL EV em 3–5 min (não reduz K; repetir se persistir alteração) | Shift: insulina regular 10 UI + glicose 25 g EV (monitorar glicemia); salbutamol 10–20 mg nebulizado; bicarbonato só se acidose | VO preferível na leve: KCl 40–100 mEq/dia; EV se < 2,5, sintomática ou TGI não funcionante | EV: 10–20 mEq/h, diluir em SF (não glicose); concentração máx 80 mEq/L (periférica) / 120 mEq/L (central); > 10 mEq/h em veia central + monitor","","","",""
"23","Metabólicas/Eletrolíticas","Distúrbios do sódio (hipo/hipernatremia)","cap. 83","Sintomas graves (convulsão, coma): salina 3% 100–150 mL EV em 10–20 min, repetir até 3× checando Na | Alvo: elevar Na 4–6 mEq/L na 1ª–2ª h para controlar sintomas | Limite: NÃO ultrapassar 8–10 mEq/L em 24 h (6–8 se alto risco: etilista, desnutrido, Na ≤ 120); risco de desmielinização | Hipercorreção: glicose 5% ± desmopressina | Repor déficit de água livre (SG 5% ou salina 0,45%); correção lenta na crônica (≤ 0,5 mEq/L/h, 8–10/24 h; piso ~6/dia) | Bolus intermitente e infusão contínua de salina 3% têm supercorreção semelhante (SALSA). Estudos recentes mostram desmielinização rara (~0,05%) e desfechos melhores com correção de 8–10 mEq/L/dia que < 6 — questionando o dogma da correção ultralenta (manter < 10/dia).","","","",""
"24","Metabólicas/Endócrinas","Crise tireotóxica (tempestade tireoidiana)","cap. 92","Exacerbação do hipertireoidismo com descompensação multissistêmica e risco de morte (mortalidade 8–25%). Graves é a principal etiologia e infecção o gatilho mais comum. Febre, taquicardia, disfunção do SNC e sintomas GI. Diagnóstico clínico (escore de Burch-Wartofsky). Manejo em UTI: betabloqueador, tionamida, iodeto (após a tionamida), corticoide, suporte e tratamento do gatilho. | 1) Betabloqueador: propranolol 0,5–1 mg EV (ou 40–80 mg VO) / esmolol em infusão; alvo FC 60–80 (também inibe T4→T3) | 2) Tionamida: PTU ataque 600–1.000 mg → 200–300 mg 4–6/6 h (inibe conversão), ou metimazol 20 mg 4–8/8 h | 4) Corticoide: hidrocortisona 100 mg EV 8/8 h (reduz conversão T4→T3 e cobre insuficiência adrenal)","","","",""
"25","Metabólicas/Endócrinas","Insuficiência adrenal / crise adrenal","cap. 93","Hiponatremia (~90%), hipercalemia (~2/3), hipoglicemia (~67%); função renal pré-renal | Hidrocortisona 100 mg EV imediata, depois 50 mg 6/6 h (ou 100 mg 6/6 h) — não atrasar por exames | Se hidrocortisona indisponível: dexametasona 4 mg EV 12/12 h (não interfere na dosagem de cortisol) | Considerar crise adrenal em hipotensão que não responde a volume/vasopressor com hiponatremia/hipercalemia ou hipoglicemia refratária — especialmente em uso prolongado de corticoide, HIV, TB. Hidrocortisona 100 mg EV é o corticoide de escolha; cortrosina não é aprovada no Brasil (alternativa: teste de tolerância à insulina).","","","",""
"26","Respiratórias","Pneumonia adquirida na comunidade (PAC)","cap. 44","Agentes: pneumococo, H. influenzae, atípicos (Mycoplasma, Legionella) e vírus; ~50% sem etiologia definida. | O₂ alvo SatO₂ ≥ 90–92%; corticoide (hidrocortisona 200 mg/dia) na PAC grave em UTI (CAPE COD) — não na PAC não grave | Abandono do conceito de ""pneumonia associada a cuidados de saúde""; sem cobertura anti-Pseudomonas/MRSA de rotina. Hidrocortisona 200 mg/dia nas primeiras 24 h reduz mortalidade na PAC grave em UTI (recomendação forte 2024).","","","",""
"27","Gastrointestinais","Hemorragia digestiva alta","cap. 75","Sangramento proximal ao ligamento de Treitz: hematêmese, borra de café, melena (mais comum) ou hematoquezia (~11%). Dividir em não varicosa (úlcera péptica é a principal) e varicosa (cirrose/hipertensão portal — pior prognóstico). Conduta: estabilizar antes de investigar, transfusão restritiva, IBP IV na suspeita péptica, e na varicosa vasoconstritor + antibiótico. EDA é exame e tratamento, idealmente < 24 h (< 12 h se varizes/instabilidade). | Varizes gastroesofágicas decorrem da hipertensão portal (gradiente > 10 mmHg); mortalidade ~15–30% (pior em Child C). | Outras: Mallory-Weiss, lesões vasculares (Dieulafoy, angiodisplasia); ~10–15% sem etiologia definida. | IBP IV na suspeita péptica: omeprazol/pantoprazol 80 mg bolus + infusão | Eritromicina 250 mg EV ~30–90 min antes da EDA (procinético); NÃO usar ácido tranexâmico (HALT-IT) | Vasoconstritor precoce: terlipressina 2 mg EV bolus → 2 mg 4/4 h até 5 dias (ou octreotida/somatostatina)","","","",""
"28","Gastrointestinais","Pancreatite aguda","cap. 77","Inflamação aguda do pâncreas por autodigestão. Causas: litíase biliar e álcool (> 80%). Maioria leve; formas graves cursam com falência orgânica. Diagnóstico: 2 de 3 (dor típica, lipase/amilase ≥ 3×, imagem). Tratamento é de suporte: hidratação moderada por metas, analgesia e nutrição precoce. | Hidratação MODERADA com Ringer lactato, guiada por metas (5–10 mL/kg/h se hipovolemia); evitar hiper-hidratação (WATERFALL) | Metas: diurese 0,5–1 mL/kg/h, PAM 65–85, FC < 120, Ht 35–44%","","","",""
"29","Infecciosas","Dengue","cap. 51","Hemograma: leucopenia precoce, plaquetopenia (< 100.000 = gravidade); hematócrito (↑ ≥ 20% = extravasamento) | A: VO 60 mL/kg/dia (1/3 com SRO). B: VO como A; se intolerância, IV 2–4 mL/kg/h; 1º Ht em 2–4 h | C: SF/Ringer 10 mL/kg na 1ª h, reavaliar Ht (até 2×); internação ≥ 48 h; depois manutenção | D (UTI): expansão rápida 20 mL/kg em até 20 min, reavaliar a cada 15–30 min, repetir até 3×; vasoativo se necessário | Choque: pressão de pulso ≤ 20 mmHg é sinal inicial; refratário com Ht ↑ → albumina/coloide | Plaquetas só se sangramento não controlado; reconhecimento precoce reduz mortalidade para < 1% | Classificação em grupos A–D com hidratação escalonada (C: 10 mL/kg/h; D: 20 mL/kg em ≤ 20 min) e manejo do choque refratário com albumina/hemoderivados. Duas vacinas no Brasil: Dengvaxia (só para quem já teve dengue) e Qdenga.","","","",""
"30","Cardiovasculares","Dissecção aguda de aorta","cap. 37","ADD-RS 0–1 + D-dímero < 500 praticamente exclui (ADvISED) | Metas: FC ~60 bpm e PAS 100–120 mmHg, iniciar antes da confirmação | Betabloqueador ANTES do vasodilatador (evita taquicardia reflexa): esmolol (bolus 500 µg/kg + 50–200 µg/kg/min) ou metoprolol EV | Após FC controlada: nitroprussiato 0,5–3 µg/kg/min + analgesia opioide | Stanford A: cirurgia de emergência (mortalidade ~1–2%/hora); Stanford B: clínico (cirurgia se complicado) | Labetalol/nicardipina como alternativas (ACC/AHA 2022)","","","",""
"31","Cardiovasculares","Pericardite aguda e tamponamento","cap. 38","Diagnóstico de pericardite por ≥ 2 de 4 critérios; pulso paradoxal = queda PAS > 10 mmHg na inspiração | AINE: ibuprofeno 600–800 mg 8/8 h (ou AAS 750–1.000 mg 8/8 h) por 1–2 semanas | Colchicina em todos: 0,5 mg/dia (< 70 kg) ou 0,5 mg 12/12 h (≥ 70 kg) por 3 meses | Tamponamento: pericardiocentese guiada por eco/POCUS é definitiva; EVITAR ventilação com pressão positiva | Corticoide só na recorrência (2ª/3ª linha)","","","",""
"32","Cardiovasculares","Trombose venosa profunda (TVP)","cap. 40","Wells + D-dímero (corte ajustado por idade > 50a: idade×10); US doppler com compressão (S 96%) | DOAC 1ª escolha: rivaroxabana 15 mg 12/12 h × 21 d → 20 mg/dia; apixabana 10 mg 12/12 h × 7 d → 5 mg 12/12 h | Enoxaparina 1 mg/kg 12/12 h ou 1,5 mg/kg 1x/dia (gestante/câncer); HNF se ClCr < 15 | 3 meses se provocada por fator transitório; ≥ 6 meses/indefinido em neoplasia | TVP distal de baixo risco: vigilância com US seriado por 2 semanas (não anticoagular)","","","",""
"33","Respiratórias","Pneumotórax","cap. 47","Hipertensivo = diagnóstico clínico, descompressão imediata SEM imagem: agulha calibrosa 14–16 G ≥ 5 cm | Local (ATLS atual): 5º EIC linha axilar anterior (ou 2º EIC hemiclavicular) | Definitivo: dreno tubular 5º EIC linha axilar média; pigtail 10–14 Fr no simples | Conservador possível se minimamente sintomático, independente do tamanho (BTS 2023); O₂ acelera reabsorção | Evitar voo 7–14 dias após resolução","","","",""
"34","Respiratórias","Derrame pleural","cap. 45","Critérios de Light (exsudato se ≥ 1): proteína LP/soro > 0,5; LDH LP/soro > 0,6; LDH do LP > 2/3 do limite superior sérico | Toracocentese se derrame novo/inexplicado > 1 cm; NÃO retirar > 1.500 mL de uma vez | Parapneumônico complicado/empiema (pH < 7,2, glicose < 60, Gram/cultura +, loculação) → dreno torácico | Fibrinolítico (t-PA + DNase) se loculado; ATB cobrindo pneumococo + anaeróbios","","","",""
"35","Gastrointestinais","Colecistite e colangite (emergências biliares)","cap. 78","Colecistite: ATB IV (cefalosporina 3ª/piperacilina-tazobactam ± metronidazol), gravidade por Tóquio TG18 I/II/III | Colecistectomia videolaparoscópica precoce (ideal < 72 h dos sintomas); colecistostomia percutânea se alto risco/choque | Colangite (emergência): ceftriaxona + metronidazol ou piperacilina-tazobactam + descompressão por CPRE urgente (sucesso > 90%) | Atraso > 24–48 h após falha clínica aumenta muito a mortalidade","","","",""
